Question,Answer,a,b,c,d
Which Death Eater kidnaps a hooded Ollivander from Diagon Alley?,b,Alecto Carrow,Fenrir Greyback,Waldin Macnair,Augustus Rookwood
Whose home do Harry and Hermione visit in Godric's Hollow?,b,Albus Dumbledore,Bathilda Bagshot,Gellert Grindelwald,Ignotus Peverell
Who does Kingsley Shacklebolt act as a bodyguard for?,d,The Minister of Magic,The Hogwarts Headmaster,The Minister for Magic,The Muggle Prime Minister
How are Sirius Black and Bellatrix Lestrange related?,c,They are siblings,They are step-siblings,They are cousins,They are not related
Gwenog Jones is the captain of which Quidditch Team?,c,Kenmare Kestrels,Ballycastle Bats,Holyhead Harpies,Wimbourne Wasps
Who is the Minister for Magic after Cornelius Fudge?,a,Rufus Scrimgeour,Pius Thicknesse,Millicent Bagnold,Ignatius Tuft
On whose grave does Hermione see the symbol the Xenophilius Lovegood was wearing on a necklace?,c,James and Lily Potter's,Godric Gryffindor's,Ignotus Peverell's,Charity Burbage
What department in the Ministry of Magic does Arthur Weasley work in when Harry first meets him?,c,The Improper Use of Magic Office,The Muggle-Worthy Excuse Office,The Misuse of Muggle Artefacts Office,The Goblin Liaison Office
Who saves Harry from drowning in the frozen lake in the Forest of Dean?,c,Neville,Luna,Ron,Hermione
What is Hermione's middle name?,a,Jean,Ann,Grace,Rose
Which teams play in the 422nd Quidditch World Cup final?,d,Ireland and England,Scotland and Bulgaria,Bulgaria and England,Ireland and Bulgaria
What is the name of Cedric Diggory's father?,b,Lionel,Amos,Edward,Tom
What color is the Beauxbatons school uniform?,a,Blue,Green,Pink,Violet
Who finds Harry and Dudley in the underpass after the Dementor attack?,c,Petunia,Dumbledore,Mrs. Figg,Vernon
"Which Hogwarts student does Ariana Dumbledore bring to Harry, Ron, and Hermione through her portrait?",b,Ginny,Neville,Luna,Cho
What position does Krum play on the Bulgarian Quidditch Team?,d,Keeper,Beater,Chaser,Seeker
Which member of the Order of the Phoenix escorts Ron to The Burrow during the escape from Privet Drive?,b,Mad-Eye Moody,Tonks,Hagrid,Lupin
"Which member of the Order of the Phoenix has scars running down his face because of an encounter with Fenrir Greyback, the werewolf?",c,Remus Lupin,Kingsley Shacklebolt,Bill Weasley,Mundugus Fletcher
"According to Griphook, who put the fake sword of Gryffindor inside Bellatrix Lestrange's vault?",b,Voldemort,Professor Snape,Bellatrix Lestrange,Regulus Black
Sybill Trelawney's first prophecy speaks of a boy born at the end of which month?,d,August,January,October,July
What is the name of the Ministry of Magic employee that Ron impersonates using Polyjuice Potion?,c,Albert Runcorn,Pius Thicknesse,Reg Cattermole,Lugo Bagman
The initials R.A.B. belong to whom?,b,Regina Amelia Bones,Regulus Arcturus Black,Reginald Albert Black,Ryan Argus Binns
Who was forced to send his own son to Azkaban for being a Death Eater?,a,Barty Crouch,Alecto Carrow,Dedalus Diggle,Cornelius Fudge
What is the name of Gilderoy Lockhart's self-praising autobiography?,d,Who Am I?,Charm & Charms,Gilderoy Lockhart,Magical Me
What is Madame Maxime's first name?,c,Augusta,Mafalda,Olympe,Aurora
Who does Tonks marry?,b,Bill Weasley,Remus Lupin,Charlie Weasley,Florean Fortescue
Which of the three brothers from The Tale of the Three Brothers presents himself to Death during old age?,a,The youngest brother,The second brother,The eldest brother,None of the brothers
Which of Ron's brothers marries Fleur Delacour?,d,Charlie,Percy,Fred,Bill
"After Dumbledore's death, who writes an unofficial autobiography on him?",b,Bathilda Bagshot,Rita Skeeter,Gilderoy Lockhart,Xenophilius Lovegood
What is Ron Weasley's middle name?,c,Oliver,Peter,Bilius,Frank
What is the name of the Slytherin Quidditch captain during Harry's second year at Hogwarts?,b,Blaise Zabini,Marcus Flint,Draco Malfoy,Theodore Nott
Where does Charlie Weasley live when he is studying dragons?,c,Spain,Norway,Romania,Egypt
Who wears the symbol of the Deathly Hallows around their neck at the wedding?,d,Emmeline Vance,Andromeda Tonks,Stan Shunpike,Xenophilius Lovegood
Who founded the Order of the Phoenix when the fight against Lord Voldemort began?,b,Kingsley Shacklebolt,Dumbledore,Caradoc Dearborn,Benjy Fenwick
Which former Hogwarts professor is the Head of the Muggle-born Registration Commission?,b,Horace Slughorn,Dolores Umbridge,Arthur Weasley,Elphias Doge
What are the names of Neville Longbottom's parents?,d,Anthony and Marge,Ludo and Amelia,Silvanus and Olympe,Frank and Alice
What is the full name of the conductor on the Knight Bus?,b,Antonin Dolohov,Stan Shunpike,Florean Fortescue,Dirk Cresswell
Who do Harry and Hermione run into in an elevator at the Ministry of Magic?,a,Dolores Umbridge,Arthur Weasley,Amos Diggory,Walden Macnair
Why can only some people see Thestrals?,c,They choose to be seen by people they trust,No one knows,They can only be seen by people who have seen death,They can only be seen by half-bloods
What spell does Hermione use to stop the rogue Bludger that targets Harry during a Quidditch match against Slytherin?,b,Accio,Finite Incantatem,Confundo,Protego
What type of dragon does Cedric face in the first task of the Triwizard Tournament?,a,The Swedish Short-Snout,The Romanian Longhorn,The Hebridean Black,The Hungarian Horntail
